OBJECTID,SAP_NAME,SAP_PLANT_NO,SAP_PLANT_NAME,SAP_KM_NAME,SAP_CANAL_ID,SAP_FUNC_LOC,FL_DESC,Shape__Length,GlobalID
1830,Kennet & Avon Canal - 093,9800,Kennet and Avon,KA Length 093,KA,KA-093,KA Kennet & Avon Canal - 093,0.013956124,efcd5ea0-701d-48b5-a174-c84a2beaecbb
1831,Kennet & Avon Canal - 094,9800,Kennet and Avon,KA Length 094,KA,KA-094,KA Kennet & Avon Canal - 094,0.014321487,0d3c6250-9bac-4a21-9a99-5c6ef87759fa
1832,Kennet & Avon Canal - 075,9800,Kennet and Avon,KA Length 075,KA,KA-075,KA Kennet & Avon Canal - 075,0.012447483,74ef854e-cdb0-40f8-9107-f660431da194
1833,Kennet & Avon Canal - 076,9800,Kennet and Avon,KA Length 076,KA,KA-076,KA Kennet & Avon Canal - 076,0.013552143,01721420-df6c-41e3-afa4-2daf655722cd
1834,Kennet & Avon Canal - 078,9800,Kennet and Avon,KA Length 078,KA,KA-078,KA Kennet & Avon Canal - 078,0.013541141,6432c0d7-aea4-48d1-ac06-3f386c4c4850
1835,Kennet & Avon Canal - 079,9800,Kennet and Avon,KA Length 079,KA,KA-079,KA Kennet & Avon Canal - 079,0.01115217,92e7d756-9c4d-4b05-ab5f-7c4495627a11
1836,Kennet & Avon Canal - 080,9800,Kennet and Avon,KA Length 080,KA,KA-080,KA Kennet & Avon Canal - 080,0.011053262,3ca45ec8-3e1d-4a46-a8a3-8ebc1d93a700
1837,Kennet & Avon Canal - 081,9800,Kennet and Avon,KA Length 081,KA,KA-081,KA Kennet & Avon Canal - 081,0.013641239,c0c5a27f-9a85-42ee-9a15-68f1d4b66a7b
1838,Kennet & Avon Canal - 082,9800,Kennet and Avon,KA Length 082,KA,KA-082,KA Kennet & Avon Canal - 082,0.010604646,8c9f0ff0-0975-4f69-a40b-83a706452ed7
1839,Kennet & Avon Canal - 083,9800,Kennet and Avon,KA Length 083,KA,KA-083,KA Kennet & Avon Canal - 083,0.013693016,ccc53cdc-29d5-47c0-81a9-b0236fcea8f7
1840,Kennet & Avon Canal - 077,9800,Kennet and Avon,KA Length 077,KA,KA-077,KA Kennet & Avon Canal - 077,0.013773064,48d7b2b5-9e0c-4fda-8fd7-b4fcdfc26872
1841,Kennet & Avon Canal - 039,9800,Kennet and Avon,KA Length 039,KA,KA-039,KA Kennet & Avon Canal - 039,0.014337103,3d44cd0f-3e81-4080-8ddd-eef8bad882a8
1842,Kennet & Avon Canal - 040,9800,Kennet and Avon,KA Length 040,KA,KA-040,KA Kennet & Avon Canal - 040,0.013681135,d02ec906-105a-4b9d-8795-d3d8e4666f43
1843,Kennet & Avon Canal - 041,9800,Kennet and Avon,KA Length 041,KA,KA-041,KA Kennet & Avon Canal - 041,0.012824508,e488138b-1f97-4af2-a988-e8b19421df81
1844,Kennet & Avon Canal - 042,9800,Kennet and Avon,KA Length 042,KA,KA-042,KA Kennet & Avon Canal - 042,0.014143753,42c48955-38f6-4feb-b4a6-6732501a8492
1845,Kennet & Avon Canal - 043,9800,Kennet and Avon,KA Length 043,KA,KA-043,KA Kennet & Avon Canal - 043,0.01420577,5bc131e7-11e6-474a-a1c3-f08d424dfcae
