Section,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,
"Lock 83, Higgs Lock",0,0,0,0,0,0,1,0,1,0,1,1,1,2,3,0,1,2,0,1,0,2,2,3,1,1,3,1,4,1,0,1,
34,0,0,0,0,0,0,0,1,0,1,0,1,1,2,2,1,1,1,2,0,0,1,4,1,2,3,1,3,0,2,1,0,
"Lock 82, Benham Lock",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,1,1,1,1,1,2,0,3,2,2,1,0,1,0,2,1,
35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,1,0,1,3,0,1,1,3,0,0,0,0,1,0,2,
"Lock 81, Hamstead Lock",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,3,0,2,1,1,0,2,0,0,0,0,1,2,
36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0,0,0,2,1,
"Lock 80, Copse Lock",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,
37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,
"Lock 79, Dreweatts Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,1,
"Lock 78, Kintbury Lock",0,0,0,1,1,1,0,1,0,1,1,0,2,0,0,1,1,0,1,0,1,3,1,1,1,3,2,2,1,0,1,1,
40,0,0,0,0,1,1,0,0,1,0,1,2,0,0,1,0,1,1,0,1,2,1,1,2,1,2,2,1,1,1,1,2,
41,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,2,1,0,2,1,2,1,1,1,1,2,2,0,
"Lock 77, Brunsden Lock",0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,2,1,0,1,0,2,2,1,0,1,1,2,1,0,
42,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,1,1,0,0,1,1,1,1,0,2,0,0,1,
"Lock 76, Wire Lock",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,1,1,0,0,1,1,1,0,1,0,0,
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,
"Lock 75, Dunmill Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,
44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,1,1,0,0,2,0,1,0,1,2,0,1,
45,1,0,1,0,1,0,0,0,1,1,2,1,0,0,1,2,1,1,2,2,1,1,1,1,1,2,0,0,1,1,2,1,
"Lock 74, Hungerford Lock",0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,2,1,1,2,1,0,1,2,1,1,1,1,1,0,1,1,1,
46,0,0,1,0,1,0,1,0,0,0,0,1,2,1,1,0,2,2,0,0,1,1,1,2,1,0,2,1,1,0,0,2,
"Lock 72, Cobblers Lock",0,0,0,1,0,1,0,1,0,0,0,1,1,2,1,1,1,1,1,0,1,2,0,1,1,1,0,2,1,0,1,0,
"Lock 73, Hungerford Marsh Lock",0,0,0,0,1,0,1,0,1,0,1,0,1,1,2,1,0,0,1,2,1,0,1,0,1,1,1,0,1,1,0,0,
47,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,2,1,0,0,1,0,2,1,0,0,1,0,0,
"Lock 71, Picketsfield",0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,
48,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,
"Lock 70, Froxfield Bottom Lock",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,
49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,
"Lock 68, Oakhill Down Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,
"Lock 69, Froxfield Top Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,
"Lock 67, Little Bedwyn Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 66, Potters Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,
"Lock 65, Burnt Mill Lock",0,0,0,1,0,0,1,0,1,1,1,1,1,2,0,0,1,0,1,1,1,1,1,1,1,2,2,0,2,0,2,1,
53,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,2,2,1,2,0,2,1,1,
"Lock 64, Church Lock",0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,3,1,1,1,1,2,1,1,0,
54,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,3,0,1,1,1,1,2,1,0,0,
"Lock 62, Longmans Cottage",0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,1,0,0,0,2,0,1,1,1,1,1,1,1,1,0,
"Lock 63, Beech Grove Lock",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,0,2,0,0,1,1,0,1,1,0,1,1,1,
55,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,3,
"Lock 61, Crossing Lock",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,3,1,
"Lock 59, Crofton Lock",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,2,0,2,
"Lock 60, Crofton Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,2,0,1,0,
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,
"Lock 58, Crofton Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,
"Lock 57, Crofton Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
"Lock 56, Crofton Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 55, Crofton Top Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
60,1,1,0,0,1,1,1,1,1,1,0,0,0,0,2,2,0,0,0,1,0,1,1,2,1,0,0,1,0,1,2,0,
61,0,1,1,0,0,1,1,1,2,1,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,1,0,0,1,1,1,1,
"Lock 53, Brimslade Lock 53",0,0,1,1,0,0,1,1,1,1,1,0,1,2,0,0,1,0,0,0,1,2,0,0,1,0,1,0,1,1,0,1,
"Lock 54, Cadley Lock",0,0,0,1,1,0,0,1,0,1,1,2,2,0,0,0,0,1,0,1,1,0,1,0,0,1,0,2,0,0,1,0,
62,0,0,0,0,1,1,0,0,1,0,2,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,1,0,0,1,
"Lock 51, Wootton Rivers",0,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,
"Lock 52, Heathy Close Lock",0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,
63,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,
64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,
65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,
74,1,0,0,0,1,1,0,1,2,1,0,1,0,0,0,1,2,2,1,1,0,0,1,1,1,1,1,0,1,0,0,0,
75,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,2,1,0,1,0,0,2,1,0,1,1,0,1,0,0,
76,0,0,1,0,0,0,2,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,
77,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,2,1,0,0,1,1,0,1,1,1,3,
78,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2,3,2,
79,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,2,2,2,1,
80,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,3,2,0,0,
81,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,2,1,1,1,1,0,
82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,1,2,
83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,2,1,1,0,0,1,2,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,2,0,0,0,1,2,0,0,1,1,1,2,1,
85,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,2,1,2,2,2,1,1,2,1,1,0,0,1,2,2,1,
86,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,1,0,2,1,1,2,2,2,1,0,1,2,0,1,1,2,1,
87,1,0,1,0,2,1,2,0,0,0,1,0,0,3,1,2,2,0,1,2,2,3,2,0,1,1,3,1,1,3,0,2,
"Lock 47, Manifold Lock",0,1,0,2,0,1,1,2,0,1,0,0,1,0,2,3,2,0,0,1,2,2,1,2,1,2,0,3,3,0,2,1,
"Lock 48, Trust Lock",0,0,1,0,1,0,1,1,3,0,0,1,0,0,2,2,1,2,0,0,1,1,2,2,3,1,1,2,2,2,1,2,
"Lock 49, Maton Lock",0,0,0,0,0,1,0,1,1,2,1,0,0,2,0,0,2,0,2,1,0,1,2,2,2,2,2,1,1,3,2,0,
"Lock 50, Kennet Lock (Top Lock)",0,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,1,1,2,1,1,1,2,1,3,2,1,2,1,2,1,
88,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,2,1,1,1,3,1,2,3,1,1,0,3,
"Lock 36, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,2,2,2,0,1,2,
"Lock 37, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,2,1,1,1,3,1,1,
"Lock 38, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,1,0,2,1,2,0,
"Lock 39, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,
"Lock 40, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
"Lock 41, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
"Lock 42, Monument Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 43, Queen Elizabeth Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 44, Sir Hugh Stockwell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 45, Cave Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 46, A P Herbert Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 31, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 32, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 29, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 30, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 33, Lloyds Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 34, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 28, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 35, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 27, Marsh Lane Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Lock 26, Devizes Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,
"Lock 25, Devizes Lock",1,0,0,0,1,1,1,2,0,0,0,0,1,1,1,0,1,1,0,1,1,2,0,2,0,0,1,1,0,2,0,1,
"Lock 24, Devizes Lock",0,1,0,0,0,1,2,0,1,0,0,0,0,1,1,1,0,1,1,0,2,1,2,0,1,1,1,0,1,0,1,1,
"Lock 23, Foxhangers Lock",0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,2,0,1,0,0,1,1,
"Lock 22, Lower Foxhangers Lock",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,2,0,1,0,0,1,0,1,
91,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,2,0,1,0,0,1,0,1,0,0,1,0,1,0,
92,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,0,1,0,1,
93,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2,
"Lock 20, Seend Lock",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,2,0,2,0,
"Lock 21, Seend Lock",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,3,0,1,
94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,2,0,1,0,
Lock 19. Seend Lock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,1,0,2,0,0,0,0,
"Lock 18, Seend Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,
"Lock 17, Seend Bottom Lock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,
