Section,Bridges,Aqueducts,Pumps,next turning back,Turning Points,next turning forward,Tunnels,Lock Status,Lockage,Latitude,Longitude,Boat Hires,Marina,Hire names,Marina names
52,1,0,0,4,0,4,0,0,0,51.39201465,-1.583658501,5,,Bruce Branch of The Kennet & Avon Canal Trust,
"Lock 66, Potters Lock",0,0,0,3,0,5,0,1,0,51.39424637,-1.580374838,0,,,
51,0,0,0,2,0,6,0,0,0,51.40496228,-1.568535516,0,,,
"Lock 67, Little Bedwyn Lock",0,0,0,1,0,7,0,1,0,51.40259538,-1.570970336,0,,,
50,3,0,0,5,1,8,0,0,0,51.40354524,-1.569874515,0,,,
"Lock 69, Froxfield Top Lock",0,0,0,4,0,1,0,1,0,51.40742402,-1.565490215,0,,,
"Lock 68, Oakhill Down Lock",0,0,0,3,0,2,0,1,0,51.40822834,-1.562552619,0,,,
49,1,1,0,2,0,3,0,0,0,51.41100133,-1.548164056,0,,,
"Lock 70, Froxfield Bottom Lock",0,0,0,1,0,4,0,1,0,51.41194203,-1.543902688,0,,,
48,1,0,0,8,1,5,0,0,0,51.41407403,-1.539284087,0,,,
"Lock 71, Picketsfield",0,0,0,7,0,1,0,1,0,51.41428762,-1.537260925,0,,,
47,2,0,0,6,0,2,0,0,0,51.4163752,-1.521926537,0,,,
"Lock 73, Hungerford Marsh Lock",0,0,0,5,0,3,0,1,0,51.41623343,-1.512888073,0,,,
"Lock 72, Cobblers Lock",0,0,0,4,0,4,0,1,0,51.41170308,-1.496024933,0,,,
46,2,1,0,3,0,5,0,0,0,51.41171267,-1.496473591,0,,,
"Lock 74, Hungerford Lock",0,0,0,2,0,6,0,1,0,51.41041894,-1.479944683,0,,,
45,1,0,0,1,0,7,0,0,0,51.41026972,-1.47906429,0,,,
44,2,0,0,2,1,8,0,0,0,51.40590724,-1.467544155,0,,,
"Lock 75, Dunmill Lock",0,0,0,1,0,1,0,1,0,51.40731243,-1.470584572,0,,,
43,1,0,0,2,1,2,0,0,0,51.4019869,-1.4538514,0,,,
"Lock 76, Wire Lock",0,0,0,1,0,1,0,1,0,51.40211479,-1.446881657,0,,,
42,1,1,0,3,1,2,0,0,0,51.40217561,-1.444656298,0,,,
"Lock 77, Brunsden Lock",0,0,0,2,0,1,0,1,0,51.4020931,-1.428510279,0,,,
41,2,0,0,1,0,2,0,0,0,51.41485718,-1.532293549,0,,,
40,3,0,0,5,1,3,0,0,0,51.40283286,-1.411592814,0,,,
"Lock 78, Kintbury Lock",0,0,0,4,0,1,0,1,0,51.41683084,-1.517832363,0,,,
39,2,0,0,3,0,2,0,0,0,51.40282744,-1.41145106,0,,,
38,1,0,0,2,0,3,0,0,0,51.40084162,-1.401805659,0,,,
"Lock 79, Dreweatts Lock",0,0,0,1,0,4,0,1,0,51.40088479,-1.398768158,0,,,
37,2,0,0,2,1,5,0,0,0,51.40087214,-1.392769892,0,,,
"Lock 80, Copse Lock",0,0,0,1,0,1,0,1,0,51.40087126,-1.392446073,0,,,
36,1,0,0,9,1,2,0,0,0,51.39639936,-1.369984745,0,,,
"Lock 81, Hamstead Lock",0,0,0,8,0,1,0,1,0,51.39720125,-1.37468065,0,,,
35,1,0,0,7,0,2,0,0,0,51.39803578,-1.357841021,0,,,
"Lock 82, Benham Lock",0,0,0,6,0,3,0,1,0,51.39763571,-1.358419651,0,,,
34,2,0,0,5,0,4,0,0,0,51.39941364,-1.347423368,0,,,
"Lock 83, Higgs Lock",0,0,0,4,0,5,0,1,0,51.39945495,-1.347129255,0,,,
33,2,0,0,3,0,6,0,0,0,51.40107856,-1.329344199,0,,,
"Lock 84, Guyers Lock",0,0,0,2,0,7,0,1,0,51.40149033,-1.325290371,0,,,
