Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Latitude,Longitude
77,2,0,0,0,0,51.36182392,-1.900095048
78,1,0,0,1,0,51.36099284,-1.911085606
79,1,0,0,0,0,51.36359683,-1.921817644
80,1,0,0,0,0,51.36992928,-1.924874374
81,1,0,0,0,0,51.37341321,-1.938866305
82,1,0,0,1,0,51.36937771,-1.943678106
83,1,0,0,0,0,51.36370969,-1.956311722
84,0,0,0,1,0,51.36161871,-1.963314131
85,2,0,0,0,0,51.35896973,-1.977474711
86,3,0,0,1,0,51.35506443,-1.991898104
87,3,0,0,0,0,51.35328671,-2.00741474
"Lock 47, Manifold Lock",0,0,0,0,0,,
"Lock 48, Trust Lock",0,0,0,0,0,,
"Lock 49, Maton Lock",0,0,0,0,0,,
"Lock 50, Kennet Lock (Top Lock)",0,0,0,0,0,,
88,1,0,0,0,0,51.3524711,-2.018237549
"Lock 36, Devizes Lock",0,0,0,0,0,,
"Lock 37, Devizes Lock",0,0,0,0,0,,
"Lock 38, Devizes Lock",0,0,0,0,0,,
"Lock 39, Devizes Lock",0,0,0,0,0,,
"Lock 40, Devizes Lock",0,0,0,0,0,,
"Lock 41, Devizes Lock",0,0,0,0,0,,
"Lock 42, Monument Lock",0,0,0,0,0,,
"Lock 43, Queen Elizabeth Lock",0,0,0,0,0,,
"Lock 44, Sir Hugh Stockwell",0,0,0,0,0,,
"Lock 45, Cave Lock",0,0,0,0,0,,
"Lock 46, A P Herbert Lock",0,0,0,0,0,,
89,1,0,0,0,0,51.35220382,-2.034903484
"Lock 31, Devizes Lock",0,0,0,0,0,,
"Lock 32, Devizes Lock",0,0,0,0,0,,
"Lock 29, Devizes Lock",0,0,0,0,0,,
"Lock 30, Devizes Lock",0,0,0,0,0,,
"Lock 33, Lloyds Lock",0,0,0,0,0,,
"Lock 34, Devizes Lock",0,0,0,0,0,,
"Lock 28, Devizes Lock",0,0,0,0,0,,
"Lock 35, Devizes Lock",0,0,0,0,0,,
"Lock 27, Marsh Lane Lock",0,0,0,0,0,,
"Lock 26, Devizes Lock",0,0,0,0,0,,
90,4,0,1,0,0,51.35408305,-2.050923277
"Lock 25, Devizes Lock",0,0,0,0,0,,
"Lock 24, Devizes Lock",0,0,0,0,0,,
"Lock 23, Foxhangers Lock",0,0,0,0,0,,
"Lock 22, Lower Foxhangers Lock",0,0,0,0,0,,
91,2,1,0,0,0,51.35563054,-2.061297092
92,2,0,0,0,0,51.354886,-2.075939315
93,2,0,0,0,0,51.35277806,-2.089277704
"Lock 20, Seend Lock",0,0,0,0,0,,
"Lock 21, Seend Lock",0,0,0,0,0,,
94,2,0,1,0,0,51.35165147,-2.102027329
Lock 19. Seend Lock,0,0,0,0,0,,
"Lock 18, Seend Lock",0,0,0,0,0,,
"Lock 17, Seend Bottom Lock",0,0,0,0,0,,
95,1,0,0,0,0,51.34962264,-2.116607646
96,3,0,0,0,0,51.3468622,-2.127840613
97,2,1,1,0,0,51.3479623,-2.143667087
"Lock 15, Semington Lock",0,0,0,0,0,,
"Lock 16, Harris Lock",0,0,0,0,0,,
98,1,1,0,0,0,51.34702116,-2.152734364
99,2,0,0,1,0,51.3456926,-2.170132231
100,1,0,0,0,0,51.34403116,-2.187387641
101,2,0,0,0,0,51.34235325,-2.196286512
102,3,2,0,0,0,51.33549246,-2.207238198
103,1,0,0,0,0,51.33458734,-2.214676232
104,0,0,0,1,0,51.33453431,-2.227593868
105,2,0,0,0,0,51.33677016,-2.245361431
106,1,0,1,0,0,51.34119675,-2.252000981
"Lock 14, Bradford On Avon Lock",0,0,0,0,0,,
107,2,0,0,0,0,51.34207337,-2.2661391
108,0,2,0,0,0,51.33910319,-2.282545232
109,1,0,0,0,0,51.340598,-2.291570195
110,0,0,0,0,0,,
111,1,0,0,0,0,51.34990018,-2.311786338
112,0,2,0,1,0,51.36040291,-2.310360601
113,3,0,0,0,0,51.36377226,-2.310210333
114,1,0,0,0,0,51.37653439,-2.302211643
115,1,0,2,1,0,51.37918563,-2.303401035
116,0,0,0,0,0,,
117,2,0,0,2,0,51.39523927,-2.317621199
118,1,0,0,0,0,51.39425467,-2.332699157
119,1,0,0,0,0,51.39164013,-2.34115347
120,3,0,0,1,2,51.384891,-2.348442254
121,8,0,2,1,0,51.37785815,-2.352946826
"Lock 7, Bath Bottom Lock",0,0,0,0,0,,
"Lock 8/9, Bath Deep Lock",0,0,0,0,0,,
"Lock 10, Wash House Lock",0,0,0,0,0,,
"Lock 11, Horse Shoe Bridge Lock",0,0,0,0,0,,
